user_id,shop_id,time_stamp,longitude,latitude,wifi_id1,wifi_strong1,con_sta1,wifi_id2,wifi_strong2,con_sta2,wifi_id3,wifi_strong3,con_sta3,wifi_id4,wifi_strong4,con_sta4,wifi_id5,wifi_strong5,con_sta5,wifi_id6,wifi_strong6,con_sta6,wifi_id7,wifi_strong7,con_sta7,wifi_id8,wifi_strong8,con_sta8,wifi_id9,wifi_strong9,con_sta9,wifi_id10,wifi_strong10,con_sta10
u_376,s_2871718,2017/8/6 21:20,122.308291,32.08804,b_6396480,-67,FALSE,b_41124514,-86,FALSE,b_28723327,-90,FALSE,b_6396479,-55,FALSE,b_8764723,-90,FALSE,b_32053319,-74,FALSE,b_5857370,-68,FALSE,b_56326644,-89,FALSE,b_56328155,-77,FALSE,b_5857369,-55,"false
"
u_376,s_2871718,2017/8/6 21:20,122.308162,32.08797,b_6396480,-67,FALSE,b_56328155,-73,FALSE,b_41124514,-88,FALSE,b_56328154,-73,FALSE,b_56326319,-84,FALSE,b_32053319,-83,FALSE,b_5857370,-68,FALSE,b_6396479,-57,FALSE,b_31100514,-89,FALSE,b_5857369,-57,"false
"
u_1041,s_181637,2017/8/2 13:10,117.365255,40.638214,b_8006367,-78,FALSE,b_2485110,-52,FALSE,b_30058118,-69,FALSE,b_8006442,-71,FALSE,b_33503892,-56,FALSE,b_33503917,-63,FALSE,b_27390312,-72,FALSE,b_8006521,-74,FALSE,b_35013153,-56,FALSE,b_37608251,-84,"false
"
u_1158,s_609470,2017/8/13 12:30,121.134451,31.197416,b_26250579,-73,FALSE,b_26250580,-64,FALSE,b_26250581,-64,FALSE,b_26250516,-77,FALSE,b_52934996,-79,FALSE,b_26250593,-81,FALSE,b_26250517,-76,FALSE,b_30424471,-60,FALSE,b_26250578,-72,FALSE,b_29510856,-80,"false
"
u_1654,s_3816766,2017/8/25 19:50,122.255867,31.35132,b_39004150,-66,FALSE,b_39004148,-58,FALSE,b_21685905,-90,FALSE,b_1053646,-87,FALSE,b_54466444,-86,FALSE,b_21685851,-82,FALSE,b_21685852,-81,FALSE,b_6805211,-80,FALSE,b_1845687,-72,FALSE,b_21685901,-91,"false
"
u_2733,s_3686420,2017/8/28 13:10,122.595277,31.581963,b_13784698,-75,FALSE,b_7390858,-86,FALSE,b_35861781,-78,FALSE,b_2971974,-71,FALSE,b_44402483,-71,FALSE,b_12135674,-71,FALSE,b_31160049,-59,FALSE,b_21608835,-44,FALSE,b_13784697,-71,FALSE,b_19272603,-72,"false
"
u_2848,s_89874,2017/8/11 14:20,104.815313,30.962847,b_975810,-33,TRUE,b_975807,-41,FALSE,b_35063048,-64,FALSE,b_48005749,-46,FALSE,b_12201872,-75,FALSE,b_975809,-37,FALSE,b_53066760,-70,FALSE,b_7695545,-41,FALSE,b_12363015,-82,FALSE,b_32391921,-64,"false
"
u_3063,s_939447,2017/8/6 14:50,117.913713,39.589681,b_15263246,-67,FALSE,b_10120963,-76,FALSE,b_41313117,-78,FALSE,b_25674211,-75,FALSE,b_13067253,-60,FALSE,b_25781349,-68,FALSE,b_25781993,-60,TRUE,b_44597733,-61,FALSE,b_37971796,-61,FALSE,b_37749132,-67,"false
"
u_3063,s_939447,2017/8/2 17:30,117.913765,39.589699,b_37749132,-77,FALSE,b_25781349,-63,FALSE,b_25781979,-83,FALSE,b_15263246,-68,FALSE,b_25674211,-79,FALSE,b_25781123,-70,FALSE,b_25781993,-59,TRUE,b_42938093,-34,FALSE,b_18696482,-73,FALSE,b_23648596,-63,"false
"
u_3063,s_3698335,2017/8/2 18:30,117.914182,39.589539,b_39846139,-73,FALSE,b_25673942,-61,FALSE,b_25674264,-59,FALSE,b_25674236,-51,FALSE,b_23353721,-61,FALSE,b_23638651,-61,FALSE,b_23354547,-64,FALSE,b_15263246,-68,FALSE,b_20903796,-64,FALSE,b_47362601,-63,"false
"
